Service,CostCentre,Spend Type,Amount
Community Safety & Support,Neighbourhood Working,Employee Costs,50690.0
Community Safety & Support,Neighbourhood Working,Employee Costs,428762.0
Community Safety & Support,Neighbourhood Working,Premise Related,4520.0
Community Safety & Support,Neighbourhood Working,Premise Related,1000.0
Community Safety & Support,Neighbourhood Working,Transport Related,1700.0
Community Safety & Support,Neighbourhood Working,Supplies and Services,277298.0
Community Safety & Support,Neighbourhood Schemes / Staying Well Project,Employee Costs,249330.0
Community Safety & Support,Neighbourhood Schemes / Staying Well Project,Supplies and Services,170490.0
Community Safety & Support,Community Safety Partnership,Employee Costs,56400.0
Community Safety & Support,Community Safety Partnership,Supplies and Services,29000.0
Community Safety & Support,Community Cohesion & Equalities,Employee Costs,16690.0
Community Safety & Support,Community Cohesion & Equalities,Employee Costs,136710.0
Community Safety & Support,Community Cohesion & Equalities,Premise Related,100.0
Community Safety & Support,Community Cohesion & Equalities,Transport Related,550.0
Community Safety & Support,Community Cohesion & Equalities,Supplies and Services,8370.0
Community Safety & Support,Community Cohesion & Equalities,Support Service Recharges Expenditure,153310.0
Community Safety & Support,Partnership & Licencing - Other,Employee Costs,63770.0
Community Safety & Support,Partnership & Licencing - Other,Employee Costs,390204.0
Community Safety & Support,Partnership & Licencing - Other,Employee Related,1000.0
Community Safety & Support,Partnership & Licencing - Other,Transport Related,2100.0
Community Safety & Support,Partnership & Licencing - Other,Supplies and Services,2200.0
Community Safety & Support,Partnership & Licencing - Hackney Carriages,Supplies and Services,29920.0
Community Safety & Support,Partnership & Licencing - Hackney Carriages,Support Service Recharges Expenditure,349060.0
Community Safety & Support,CSP Manager,Employee Costs,10500.0
Community Safety & Support,CSP Manager,Employee Costs,48423.0
Community Safety & Support,Halifax Central Initiative,Employee Costs,32510.0
Community Safety & Support,Halifax Central Initiative,Employee Costs,200760.0
Community Safety & Support,Halifax Central Initiative,Premise Related,700.0
Community Safety & Support,Halifax Central Initiative,Supplies and Services,1500.0
Community Safety & Support,Community Response,Employee Costs,146510.0
Community Safety & Support,Community Response,Employee Costs,958327.0
Community Safety & Support,Community Response,Employee Related,3500.0
Community Safety & Support,Community Response,Premise Related,1175.0
Community Safety & Support,Community Response,Transport Related,2100.0
Community Safety & Support,Community Response,Supplies and Services,426747.0
Community Safety & Support,Community Response,Support Service Recharges Expenditure,110830.0
Community Safety & Support,Community Response,Depreciation Charges and Revenue contribution to Capital,175790.0
Community Safety & Support,Commercial Health,Employee Costs,91300.0
Community Safety & Support,Commercial Health,Employee Costs,634762.0
Community Safety & Support,Commercial Health,Employee Related,1500.0
Community Safety & Support,Commercial Health,Transport Related,12000.0
Community Safety & Support,Commercial Health,Supplies and Services,237873.0
Community Safety & Support,Commercial Health,Support Service Recharges Expenditure,241930.0
Community Safety & Support,Commercial Health,Depreciation Charges and Revenue contribution to Capital,9180.0
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Employee Costs,18940.0
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Employee Costs,126666.0
Community Safety & Support,Head of Service Neighbourhood & Comm. Engagement,Support Service Recharges Expenditure,591570.0
Recreation & Support,Group Director & PA Support Costs,Employee Costs,26250.0
Recreation & Support,Group Director & PA Support Costs,Employee Costs,154814.0
Recreation & Support,Group Director & PA Support Costs,Transport Related,340.0
Recreation & Support,Group Director & PA Support Costs,Supplies and Services,13741.0
Recreation & Support,Group Director & PA Support Costs,Support Service Recharges Expenditure,68720.0
Recreation & Support,Cemeteries - Lister Lane,Employee Costs,29360.0
Recreation & Support,Cemeteries - Lister Lane,Employee Costs,194580.0
Recreation & Support,Cemeteries - Lister Lane,Employee Related,100.0
Recreation & Support,Cemeteries - Lister Lane,Premise Related,5850.0
Recreation & Support,Cemeteries - Lister Lane,Premise Related,3240.0
Recreation & Support,Cemeteries - Lister Lane,Transport Related,600.0
Recreation & Support,Cemeteries - Lister Lane,Supplies and Services,22220.0
Recreation & Support,Cemeteries - Lister Lane,Support Service Recharges Expenditure,187400.0
Recreation & Support,Cemeteries - Lister Lane,Depreciation Charges and Revenue contribution to Capital,18400.0
Recreation & Support,Park Wood Crematorium,Employee Costs,42310.0
Recreation & Support,Park Wood Crematorium,Employee Costs,261132.0
Recreation & Support,Park Wood Crematorium,Premise Related,140790.0
Recreation & Support,Park Wood Crematorium,Premise Related,2550.0
Recreation & Support,Park Wood Crematorium,Transport Related,790.0
Recreation & Support,Park Wood Crematorium,Support Service Recharges Expenditure,230360.0
Recreation & Support,Park Wood Crematorium,Depreciation Charges and Revenue contribution to Capital,156420.0
Recreation & Support,Cemeteries - Health And Safety,Premise Related,39180.0
Recreation & Support,Spring Hall Mansions,Premise Related,50100.0
Recreation & Support,Spring Hall Mansions,Support Service Recharges Expenditure,24820.0
Recreation & Support,Spring Hall Mansions,Depreciation Charges and Revenue contribution to Capital,18280.0
Recreation & Support,Brighouse Cemetery,Premise Related,6170.0
Recreation & Support,Exley Cemetery,Premise Related,1800.0
Recreation & Support,Luddenden Cemetery,Premise Related,570.0
Recreation & Support,Sowerby Bridge Cemetery,Premise Related,2920.0
Recreation & Support,Stoney Royd Chapel,Premise Related,6390.0
Libraries Info & Tourism,Business Support,Employee Costs,8640.0
Libraries Info & Tourism,Business Support,Employee Costs,28290.0
Libraries Info & Tourism,Business Support,Employee Related,1050.0
Libraries Info & Tourism,Business Support,Transport Related,130.0
Libraries Info & Tourism,Business Support,Transport Related,1930.0
Libraries Info & Tourism,Business Support,Supplies and Services,16940.0
Libraries Info & Tourism,Business Support,Support Service Recharges Expenditure,359950.0
Libraries Info & Tourism,Bibliographic Services,Employee Costs,22500.0
Libraries Info & Tourism,Bibliographic Services,Employee Costs,153940.0
Libraries Info & Tourism,Bibliographic Services,Employee Related,130.0
Libraries Info & Tourism,Bibliographic Services,Transport Related,590.0
Libraries Info & Tourism,Bibliographic Services,Supplies and Services,106350.0
Libraries Info & Tourism,Bibliographic Services,Support Service Recharges Expenditure,600910.0
Libraries Info & Tourism,Bibliographic Services,Depreciation Charges and Revenue contribution to Capital,6510.0
Libraries Info & Tourism,Central Lending - Halifax,Employee Costs,44180.0
Libraries Info & Tourism,Central Lending - Halifax,Employee Costs,301900.0
Libraries Info & Tourism,Central Lending - Halifax,Premise Related,15810.0
Libraries Info & Tourism,Central Lending - Halifax,Transport Related,1510.0
Libraries Info & Tourism,Central Lending - Halifax,Supplies and Services,3040.0
Libraries Info & Tourism,Central Lending - Halifax,Depreciation Charges and Revenue contribution to Capital,141420.0
Libraries Info & Tourism,Area Services,Premise Related,40800.0
Libraries Info & Tourism,Area Services,Premise Related,16360.0
Libraries Info & Tourism,Area Services,Transport Related,100.0
Libraries Info & Tourism,Area Services,Depreciation Charges and Revenue contribution to Capital,4480.0
Libraries Info & Tourism,Childrens Services,Employee Costs,19390.0
Libraries Info & Tourism,Childrens Services,Employee Costs,130530.0
Libraries Info & Tourism,Childrens Services,Transport Related,320.0
Libraries Info & Tourism,Childrens Services,Supplies and Services,36220.0
Libraries Info & Tourism,Libraries Collections Stock,Supplies and Services,141240.0
Libraries Info & Tourism,Information Services,Employee Costs,18880.0
Libraries Info & Tourism,Information Services,Employee Costs,134656.0
Libraries Info & Tourism,Information Services,Transport Related,70.0
Libraries Info & Tourism,Information Services,Supplies and Services,51450.0
Libraries Info & Tourism,Libraries Service (excluding Central),Employee Costs,99330.0
Libraries Info & Tourism,Libraries Service (excluding Central),Employee Costs,667136.0
Libraries Info & Tourism,Libraries Service (excluding Central),Transport Related,2790.0
Libraries Info & Tourism,Libraries Service (excluding Central),Depreciation Charges and Revenue contribution to Capital,185040.0
Libraries Info & Tourism,Schools Library Service,Employee Costs,5950.0
Libraries Info & Tourism,Schools Library Service,Employee Costs,40200.0
Libraries Info & Tourism,Schools Library Service,Transport Related,4030.0
Libraries Info & Tourism,Schools Library Service,Supplies and Services,13620.0
Libraries Info & Tourism,Bailiff Bridge Library,Premise Related,2560.0
Libraries Info & Tourism,Beechwood Rd Library,Premise Related,7430.0
Libraries Info & Tourism,Brighouse Library,Premise Related,35045.0
Libraries Info & Tourism,Elland Library,Premise Related,14910.0
Libraries Info & Tourism,Greetland Library,Premise Related,1810.0
Libraries Info & Tourism,Hebden Library,Premise Related,22760.0
Libraries Info & Tourism,Hipperholme Library,Premise Related,5840.0
Libraries Info & Tourism,Halifax Central Library,Premise Related,183850.0
Libraries Info & Tourism,King Cross Library,Premise Related,41370.0
Libraries Info & Tourism,Mixenden Library,Premise Related,2780.0
Libraries Info & Tourism,Mytholmroyd Library,Premise Related,1270.0
Libraries Info & Tourism,Northowram Library,Premise Related,13040.0
Libraries Info & Tourism,Rastrick Library,Premise Related,9490.0
Libraries Info & Tourism,Rastrick Library Flat,Premise Related,1580.0
Libraries Info & Tourism,Ripponden Library,Premise Related,3950.0
Libraries Info & Tourism,Sowerby Bridge Library,Premise Related,11755.0
Libraries Info & Tourism,Shelf new library,Premise Related,3130.0
Libraries Info & Tourism,Skircoat Library,Premise Related,3500.0
Libraries Info & Tourism,Southowram library,Premise Related,1520.0
Libraries Info & Tourism,Stainland Library,Premise Related,1805.0
Libraries Info & Tourism,Todmorden library,Premise Related,17150.0
Libraries Info & Tourism,Walsden Library,Premise Related,700.0
Customer Services and Communications,Regn of BDM (prev on 8011),Employee Costs,20440.0
Customer Services and Communications,Regn of BDM (prev on 8011),Employee Costs,215239.0
Customer Services and Communications,Regn of BDM (prev on 8011),Employee Related,830.0
Customer Services and Communications,Regn of BDM (prev on 8011),Premise Related,2000.0
Customer Services and Communications,Regn of BDM (prev on 8011),Transport Related,2580.0
Customer Services and Communications,Regn of BDM (prev on 8011),Supplies and Services,47310.0
Customer Services and Communications,Regn of BDM (prev on 8011),Support Service Recharges Expenditure,171310.0
Customer Services and Communications,Local Land Charges (prev on 8049),Support Service Recharges Expenditure,5330.0
Customer Services and Communications,Benefits,Employee Costs,104440.0
Customer Services and Communications,Benefits,Employee Costs,600441.0
Customer Services and Communications,Benefits,Transport Related,120.0
Customer Services and Communications,Benefits,Supplies and Services,346950.0
Customer Services and Communications,Benefits,Supplies and Services,60075.0
Customer Services and Communications,Benefits,Transfer Payments,39281170.0
Customer Services and Communications,Benefits,Support Service Recharges Expenditure,263920.0
Customer Services and Communications,Local Welfare Provision,Employee Costs,22100.0
Customer Services and Communications,Local Welfare Provision,Premise Related,1000.0
Customer Services and Communications,Local Welfare Provision,Large Contract Areas,95000.0
Customer Services and Communications,Local Welfare Provision,Support Service Recharges Expenditure,27040.0
Customer Services and Communications,Fraud & Business Support,Employee Costs,41460.0
Customer Services and Communications,Fraud & Business Support,Employee Costs,174440.0
Customer Services and Communications,Fraud & Business Support,Transport Related,1500.0
Customer Services and Communications,Fraud & Business Support,Supplies and Services,1300.0
Customer Services and Communications,Head of Service Customer Services & Communications,Employee Costs,16770.0
Customer Services and Communications,Head of Service Customer Services & Communications,Employee Costs,112816.0
Customer Services and Communications,Head of Service Customer Services & Communications,Supplies and Services,1610.0
Customer Services and Communications,Head of Service Customer Services & Communications,Support Service Recharges Expenditure,346210.0
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Employee Costs,24930.0
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Employee Costs,153193.0
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Employee Related,150.0
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Transport Related,130.0
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Supplies and Services,36120.0
Customer Services and Communications,Customer Insight (prev Corporate Complaints),Support Service Recharges Expenditure,171680.0
Customer Services and Communications,Customer First by Phone,Employee Costs,67890.0
Customer Services and Communications,Customer First by Phone,Employee Costs,496740.0
Customer Services and Communications,Customer First by Phone,Transport Related,100.0
Customer Services and Communications,Customer First by Phone,Supplies and Services,1330.0
Customer Services and Communications,Customer First by Phone,Support Service Recharges Expenditure,59060.0
Customer Services and Communications,Web Services,Employee Costs,19210.0
Customer Services and Communications,Web Services,Employee Costs,134509.0
Customer Services and Communications,Web Services,Supplies and Services,13590.0
Customer Services and Communications,Customer First - Halifax,Employee Costs,39580.0
Customer Services and Communications,Customer First - Halifax,Employee Costs,433239.0
Customer Services and Communications,Customer First - Halifax,Transport Related,660.0
Customer Services and Communications,Customer First - Halifax,Supplies and Services,50500.0
Customer Services and Communications,Customer First - Halifax,Support Service Recharges Expenditure,132330.0
Customer Services and Communications,Sign Language,Employee Costs,10950.0
Customer Services and Communications,Sign Language,Employee Costs,64592.0
Customer Services and Communications,Sign Language,Employee Related,200.0
Customer Services and Communications,Sign Language,Premise Related,60.0
Customer Services and Communications,Sign Language,Transport Related,1640.0
Customer Services and Communications,Sign Language,Supplies and Services,19400.0
Museums & Arts,Halls Administration,Employee Costs,9750.0
Museums & Arts,Halls Administration,Employee Costs,66645.0
Museums & Arts,Halls Administration,Supplies and Services,5640.0
Museums & Arts,Halls Administration,Support Service Recharges Expenditure,98750.0
Museums & Arts,Todmorden Town Hall,Employee Costs,200.0
Museums & Arts,Todmorden Town Hall,Employee Costs,4160.0
Museums & Arts,Todmorden Town Hall,Premise Related,35345.0
Museums & Arts,Todmorden Town Hall,Supplies and Services,420.0
Museums & Arts,Todmorden Town Hall,Support Service Recharges Expenditure,31900.0
Museums & Arts,Todmorden Town Hall,Depreciation Charges and Revenue contribution to Capital,41120.0
Museums & Arts,Civic Hall-Brighouse,Employee Costs,1920.0
Museums & Arts,Civic Hall-Brighouse,Premise Related,31980.0
Museums & Arts,Civic Hall-Brighouse,Supplies and Services,450.0
Museums & Arts,Civic Hall-Brighouse,Support Service Recharges Expenditure,28440.0
Museums & Arts,Civic Hall-Brighouse,Depreciation Charges and Revenue contribution to Capital,26220.0
Museums & Arts,Village Hall-Shelf,Employee Costs,470.0
Museums & Arts,Village Hall-Shelf,Employee Costs,4600.0
Museums & Arts,Village Hall-Shelf,Premise Related,8660.0
Museums & Arts,Village Hall-Shelf,Support Service Recharges Expenditure,3940.0
Museums & Arts,Village Hall-Shelf,Depreciation Charges and Revenue contribution to Capital,21100.0
Museums & Arts,Clay House,Employee Costs,50.0
Museums & Arts,Clay House,Employee Costs,2330.0
Museums & Arts,Clay House,Premise Related,4680.0
Museums & Arts,Clay House,Depreciation Charges and Revenue contribution to Capital,7170.0
Museums & Arts,Piece Hall,Supplies and Services,202000.0
Museums & Arts,Piece Hall,Support Service Recharges Expenditure,3360.0
