Service,CostCentre,Spend Type,Amount
Community Safety & Support,Neighbourhood Working,Employee Costs,50690
Community Safety & Support,Neighbourhood Working,Employee Costs,428762
Community Safety & Support,Neighbourhood Working,Premise Related,4520
Community Safety & Support,Neighbourhood Working,Premise Related,1000
Community Safety & Support,Neighbourhood Working,Transport Related,1700
Community Safety & Support,Neighbourhood Working,Supplies and Services,277298
Community Safety & Support,Neighbourhood Working,"Grants, Contributions, Other Income ",-48000
Community Safety & Support,Neighbourhood Schemes / Staying Well Project,Employee Costs,249330
Community Safety & Support,Neighbourhood Schemes / Staying Well Project,Supplies and Services,170490
Community Safety & Support,Neighbourhood Schemes / Staying Well Project,"Grants, Contributions, Other Income ",-239040
Community Safety & Support,Community Safety Partnership,Employee Costs,56400
Community Safety & Support,Community Safety Partnership,Supplies and Services,29000
Community Safety & Support,Community Cohesion & Equalities,Employee Costs,16690
Community Safety & Support,Community Cohesion & Equalities,Employee Costs,136710
Community Safety & Support,Community Cohesion & Equalities,Premise Related,100
Community Safety & Support,Community Cohesion & Equalities,Transport Related,550
Community Safety & Support,Community Cohesion & Equalities,Supplies and Services,8370
Community Safety & Support,Community Cohesion & Equalities,Support Service Recharges Expenditure,153310
Community Safety & Support,Partnership & Licencing - Other,Employee Costs,63770
Community Safety & Support,Partnership & Licencing - Other,Employee Costs,390204
Community Safety & Support,Partnership & Licencing - Other,Employee Related,1000
Community Safety & Support,Partnership & Licencing - Other,Transport Related,2100
Community Safety & Support,Partnership & Licencing - Other,Supplies and Services,2200
Community Safety & Support,Partnership & Licencing - Other,"Grants, Contributions, Other Income ",-225070
Community Safety & Support,Partnership & Licencing - Hackney Carriages,Supplies and Services,29920
Community Safety & Support,Partnership & Licencing - Hackney Carriages,Support Service Recharges Expenditure,349060
Community Safety & Support,Partnership & Licencing - Hackney Carriages,"Grants, Contributions, Other Income ",-381640
Community Safety & Support,CSP Manager,Employee Costs,10500
Community Safety & Support,CSP Manager,Employee Costs,48423
Community Safety & Support,Halifax Central Initiative,Employee Costs,32510
Community Safety & Support,Halifax Central Initiative,Employee Costs,200760
Community Safety & Support,Halifax Central Initiative,Premise Related,700
Community Safety & Support,Halifax Central Initiative,Supplies and Services,1500
Community Safety & Support,Halifax Central Initiative,"Grants, Contributions, Other Income ",-58760
Community Safety & Support,Community Response,Employee Costs,146510
